Trade Name,Industry Type,Product Name,Actual Production Capacity,Unit,E-Mail,Phone,Industry Type_Energy and Sustainability Industries,E-Mail_lab,Unit_Cu meter,Unit_Gallon,Unit_Kilo Watt,Unit_Kilogram,Unit_Litre,Unit_Numbers,Unit_Sq meter,Unit_Ton metric,Phone_lab
AL OJAN ICE & REFREIGERATION,Energy and Sustainability Industries,Ice Blocks,640000,Numbers,ahmed_7727@yahoo.com | alyaser628@gmail.com | osamafoush@yahoo.com,0509868910 | 0559725363 | 557866003,True,6,False,False,False,False,False,True,False,False,4
AL AQILI ICE & REFRIGERATION FACTORY,Energy and Sustainability Industries,Ice Blocks,35000,Kilogram,albaselcontracting@yahoo.com | sami.m.mawlana@hotmail.com,0504815122 | 504815122,True,8,False,False,False,True,False,False,False,False,1
LIWA ICE FACTORY L.L.C,Energy and Sustainability Industries,Ice Blocks,8000,Ton metric,ashrf200ashraf200@yahoo.com,71557472025,True,10,False,False,False,False,False,False,False,True,19
ABU DHABI COMPOST PLANT,Energy and Sustainability Industries,Organic Fertilizer (Remnants of The City and Green Waste),75000,Ton metric,m.abdelkader@adcompost.com,569449978,True,15,False,False,False,False,False,False,False,True,18
SHUWEIHAT C M S INTERNATIONAL POWER PJS,Energy and Sustainability Industries,Ordinary Natural Waters,16592900,Cu meter,surendra.yadav@scipco.ae,506220148,True,19,True,False,False,False,False,False,False,False,11
SHUWEIHAT C M S INTERNATIONAL POWER PJS,Energy and Sustainability Industries,Electricity Energy,1500,Kilo Watt,surendra.yadav@scipco.ae,506220148,True,19,False,False,True,False,False,False,False,False,11
GULF RUBBER FACTORY  - SOLE PROPRIETORSHIP L.L.C.,Energy and Sustainability Industries,Steel Wires Shreds,1500,Ton metric,DIAB.ABUSHAHEEN@GMAIL.COM | abdallah@gulfrubberfactory.com,506430161 | 529294404,True,0,False,False,False,False,False,False,False,True,12
GULF RUBBER FACTORY  - SOLE PROPRIETORSHIP L.L.C.,Energy and Sustainability Industries,Steel Wires Rolls,700,Ton metric,DIAB.ABUSHAHEEN@GMAIL.COM | abdallah@gulfrubberfactory.com,506430161 | 529294404,True,0,False,False,False,False,False,False,False,True,12
GULF RUBBER FACTORY  - SOLE PROPRIETORSHIP L.L.C.,Energy and Sustainability Industries,Rubber Tiles,2000,Ton metric,DIAB.ABUSHAHEEN@GMAIL.COM | abdallah@gulfrubberfactory.com,506430161 | 529294404,True,0,False,False,False,False,False,False,False,True,12
GULF RUBBER FACTORY  - SOLE PROPRIETORSHIP L.L.C.,Energy and Sustainability Industries,Rubber Sheets,600,Ton metric,DIAB.ABUSHAHEEN@GMAIL.COM | abdallah@gulfrubberfactory.com,506430161 | 529294404,True,0,False,False,False,False,False,False,False,True,12
GULF RUBBER FACTORY  - SOLE PROPRIETORSHIP L.L.C.,Energy and Sustainability Industries,Rubber Granules,10000,Ton metric,DIAB.ABUSHAHEEN@GMAIL.COM | abdallah@gulfrubberfactory.com,506430161 | 529294404,True,0,False,False,False,False,False,False,False,True,12
AL RUWAIS POWER COMPANY-PJSC,Energy and Sustainability Industries,Ordinary Natural Water,20244000,Gallon,azeem@ruwaispower.ae | info@ruwaispower.ae,0506001477 | 506001477,True,11,False,True,False,False,False,False,False,False,2
AL RUWAIS POWER COMPANY-PJSC,Energy and Sustainability Industries,Electricity Energy,25787430,Kilo Watt,azeem@ruwaispower.ae | info@ruwaispower.ae,0506001477 | 506001477,True,11,False,False,True,False,False,False,False,False,2
AL DHAFRA RECYCLING INDUSTRIES - LLC,Energy and Sustainability Industries,Concrete Aggregate (Recycled),2002000,Ton metric,raouf.salim@adri.ae | raouf.salim@hlg.ae,0504405519 | 504405519,True,18,False,False,False,False,False,False,False,True,0
EMIRATES CMS POWER COMPANY-PSC,Energy and Sustainability Industries,Ordinary Natrual Water,25787430,Gallon,binoy.george@ecpc.ae | hmmurad@ecpc.ae,504453439 | 506628210,True,12,False,True,False,False,False,False,False,False,8
GULF TOTAL TRACTEBEL POWER COMPANY - P J S (INDUSTRIAL),Energy and Sustainability Industries,Ordinary Natural Water,25787430,Gallon,Gov.affairs@abudhabipower.ae | hassan.yahya@gttp.ae,502688351 | 508111103,True,3,False,True,False,False,False,False,False,False,5
GULF TOTAL TRACTEBEL POWER COMPANY - P J S (INDUSTRIAL),Energy and Sustainability Industries,Electricity Energy,1592000,Kilo Watt,Gov.affairs@abudhabipower.ae | hassan.yahya@gttp.ae,502688351 | 508111103,True,3,False,False,True,False,False,False,False,False,5
TAWEELAH ASIA POWER COMPANY - P S C,Energy and Sustainability Industries,Electricity Energy,6640744,Kilo Watt,Gov.affairs@abudhabipower.ae | osama.m@tapco.ae,506667167 | 508111103,True,4,False,False,True,False,False,False,False,False,13
TAWEELAH ASIA POWER COMPANY - P S C,Energy and Sustainability Industries,Ordinary Natural Water,25787430,Sq meter,Gov.affairs@abudhabipower.ae | osama.m@tapco.ae,506667167 | 508111103,True,4,False,False,False,False,False,False,True,False,13
SHUWEIHAT ASIA POWER COMPANY PJSC,Energy and Sustainability Industries,Electricity Energy,1500000,Kilo Watt,abdul.ghaffar@sapco.ae,566161791,True,5,False,False,True,False,False,False,False,False,17
ALMIRFA POWER COMPANY P.J.S.C,Energy and Sustainability Industries,Ordinary Natural Water,25787430,Cu meter,Gov.affairs@abudhabipower.ae | hamad.alsubosi@almirfa.net | husseinn@almirfa.net,0506592777 | 508111103 | 6225192,True,2,True,False,False,False,False,False,False,False,3
ALMIRFA POWER COMPANY P.J.S.C,Energy and Sustainability Industries,Electricity Energy,25787430,Kilo Watt,Gov.affairs@abudhabipower.ae | hamad.alsubosi@almirfa.net | husseinn@almirfa.net,0506592777 | 508111103 | 6225192,True,2,False,False,True,False,False,False,False,False,3
EMIRATES BIOLGICA FERTILIZER / WLL,Energy and Sustainability Industries,Liquid Animal Organic Fertilizers,10000,Gallon,hr@ebff.ae,504486242,True,13,False,True,False,False,False,False,False,False,9
EMIRATES BIOLGICA FERTILIZER / WLL,Energy and Sustainability Industries,Powder Animal Organic Fertilizers,45000,Ton metric,hr@ebff.ae,504486242,True,13,False,False,False,False,False,False,False,True,9
EMIRATES BIOLGICA FERTILIZER / WLL,Energy and Sustainability Industries,Compound Liquid Chemical Fertilizers,10000,Gallon,hr@ebff.ae,504486242,True,13,False,True,False,False,False,False,False,False,9
EMIRATES BIOLGICA FERTILIZER / WLL,Energy and Sustainability Industries,Pellet Animal Organic Fertilizers,20000,Ton metric,hr@ebff.ae,504486242,True,13,False,False,False,False,False,False,False,True,9
EMIRATES BIOLGICA FERTILIZER / WLL,Energy and Sustainability Industries,Compound Powder Chemical Fertilizers,2000,Ton metric,hr@ebff.ae,504486242,True,13,False,False,False,False,False,False,False,True,9
EMIRATES BIOLGICA FERTILIZER / WLL,Energy and Sustainability Industries,Fertilizing Potting Soil,2500000,Litre,hr@ebff.ae,504486242,True,13,False,False,False,False,True,False,False,False,9
EMIRATES BIOLGICA FERTILIZER / WLL,Energy and Sustainability Industries,Compound Pellet Organic Chemical Fertilizers,1500,Ton metric,hr@ebff.ae,504486242,True,13,False,False,False,False,False,False,False,True,9
EMIRATES BIOLGICA FERTILIZER / WLL,Energy and Sustainability Industries,Powder Vegetable Organic Fertilizers,1000,Ton metric,hr@ebff.ae,504486242,True,13,False,False,False,False,False,False,False,True,9
AL MIRFA POWER COMPANY P.J.S.C - BRANCH 1,Energy and Sustainability Industries,Electricity Energy,25787430,Kilo Watt,Gov.affairs@abudhabipower.ae | hamad.alsubosi@almirfa.net | husseinn@almirfa.net,0506592777 | 508111103 | 6225192,True,2,False,False,True,False,False,False,False,False,3
AL YAHAR ORGANIC FERTILIZERS  FACTORY,Energy and Sustainability Industries,Powder Animal Organic Fertilizers,12000,Ton metric,alyaharfactory@ymail.com,503361007,True,9,False,False,False,False,False,False,False,True,7
