Indicator_EN,Variable_EN - Final Discharge,Unit_EN,Geography_EN,Temporal Ref - Year_EN,Temporal Ref - Year_AR,Value,Variable_EN - Final Discharge_Dispose in Gulf Water,Variable_EN - Final Discharge_Dispose inValleys,Variable_EN - Final Discharge_Dispose to Lagoon,Variable_EN - Final Discharge_Irrigation,Variable_EN - Final Discharge_Other,Variable_EN - Final Discharge_Storage,Variable_EN - Final Discharge_Treated Wasewater,Unit_EN_%,Unit_EN_Million M3,Unit_EN_m3 / yearly,Geography_EN_Abu Dhabi,Geography_EN_Ajman,Geography_EN_Dubai,Geography_EN_Fujairah,Geography_EN_Ras Al-Khaimah ,Geography_EN_Sharjah,Geography_EN_Total ,Geography_EN_Total %,Geography_EN_Umm Al-Quwain ,Indicator_EN_Treated Wastewater Distribution
Treated Wastewater Distribution,Treated Wasewater,Million M3,Abu Dhabi,2017,2017,310.7195292468086,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,True
Treated Wastewater Distribution,Treated Wasewater,Million M3,Dubai,2017,2017,268.669649,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True
Treated Wastewater Distribution,Treated Wasewater,Million M3,Sharjah,2017,2017,101.32951500000001,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True
Treated Wastewater Distribution,Treated Wasewater,Million M3,Ajman,2017,2017,34.386566,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True
Treated Wastewater Distribution,Treated Wasewater,Million M3,Umm Al-Quwain ,2017,2017,0,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,True
Treated Wastewater Distribution,Treated Wasewater,Million M3,Ras Al-Khaimah ,2017,2017,12.902775550000001,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True
Treated Wastewater Distribution,Treated Wasewater,Million M3,Fujairah,2017,2017,7.54429,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True
Treated Wastewater Distribution,Treated Wasewater,Million M3,Total ,2017,2017,735.5523247968086,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True
Treated Wastewater Distribution,Treated Wasewater,%,Total %,2017,2017,100,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,True
Treated Wastewater Distribution,Irrigation,Million M3,Abu Dhabi,2017,2017,174.43962404919898,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True
