Tic Year سنة المخالفة,"NO of Tic 
عدد المخالفات"
2016,5565
2016,2089
2016,5565
2016,9
2016,560
2016,5565
2016,828
2016,129
2016,45
2016,1810
2016,3586
2016,49
2016,53
2016,5565
2016,668
2016,344
2016,3330
2016,2151
2016,89
2016,356
2016,116
2016,33
2016,340
2016,2908
2016,5565
2016,742
2016,1076
2016,1220
2016,1894
2016,4
2016,4120
2016,440
2016,54
2016,1372
2016,80
2016,2048
2016,442
2016,10
2016,1058
2016,5565
2016,2453
2016,84
2016,586
2016,58
2016,37
2016,1153
2016,12
2016,5565
2016,5565
2016,3394
2016,1093
2016,739
2016,120
2016,92
2016,649
2016,2840
2016,48
2016,63
2016,1
2016,3125
2016,5565
2016,5565
2016,44
2016,64
2016,607
2016,191
2016,153
2016,69
2016,5565
2016,46
2016,5565
2016,132
2016,463
2016,183
2016,5429
2016,5565
2016,5565
2016,645
2016,7
2016,43
2016,2604
2016,5565
2016,5565
2016,5565
2016,29
2016,5565
2016,5565
2016,887
2016,1102
2016,5565
2016,14
2016,5565
2016,5565
2016,5565
2016,821
2016,5565
2016,5565
2016,5565
2016,803
2016,224
2016,5565
2016,185
2016,291
2016,4534
2016,743
2016,372
2016,5565
2016,495
2016,538
2016,758
2016,77
2016,5565
2016,159
2016,5565
2016,28
2016,5565
2016,91
2016,3116
2016,989
2016,151
2016,5565
2016,5565
2016,4535
2016,687
2016,79
2016,30
2016,22
2016,16
2016,13
2016,8
2016,5
2017,2125
2017,202
2017,1464
2017,1559
2017,5565
2017,8
2017,322
2017,5565
2017,407
2017,213
2017,69
2017,12
2017,920
2017,2909
2017,5
2017,1781
2017,21
2017,15
2017,65
2017,4589
2017,5565
2017,545
2017,984
2017,123
2017,1431
2017,219
2017,1275
2017,3
2017,35
2017,146
2017,75
2017,89
2017,9
2017,134
2017,1851
2017,2371
2017,4936
2017,869
2017,1145
2017,538
2017,615
2017,756
2017,591
2017,2
2017,1442
2017,68
2017,1691
2017,1852
2017,257
2017,186
2017,14
2017,638
2017,88
2017,4544
2017,1519
2017,498
2017,10
2017,377
2017,3719
2017,1917
2017,367
2017,22
2017,314
2017,60
2017,115
2017,114
2017,73
2017,201
2017,556
2017,6
2017,501
2017,76
2017,63
2017,23
2017,3443
2017,1124
2017,311
2017,124
2017,5565
2017,2941
2017,832
2017,232
2017,154
2017,52
2017,25
2017,46
2017,440
2017,1418
2017,7
2017,29
2017,37
2017,19
2017,26
2017,1
2017,206
2017,3698
2017,5565
2017,16
2017,84
2017,5565
2017,27
2017,235
2017,666
2017,119
2017,95
2017,55
2017,40
2017,5565
2017,3756
2017,38
2017,5565
2017,45
2017,194
2017,53
2017,4548
2017,5565
2017,1245
2017,5565
2017,56
2017,355
2017,254
2017,71
2017,1117
2017,5565
2017,5565
2017,5565
2017,142
2017,158
2017,5565
2017,5565
2017,5565
2017,5565
2017,5565
2017,1408
2017,443
2017,731
2017,435
2017,2660
2017,5565
2017,3282
2017,488
2017,2350
2017,3080
2017,1482
2017,1641
2017,191
2017,2907
2017,72
2017,5565
2017,2793
2017,1697
2017,5565
2017,3813
2017,44
2017,126
2017,350
2017,116
2017,5565
2017,58
2017,66
2017,221
2017,2223
2017,2718
2017,336
2017,42
2017,50
2017,720
2017,5565
2017,464
2017,348
2017,342
2017,180
2017,4768
2017,282
2017,437
2017,307
2017,104
2017,5565
2017,5565
2017,238
2017,5565
2017,34
2017,41
2017,5565
2017,5565
2017,261
2017,1020
2017,1672
2017,837
2017,808
2017,494
2017,5565
2017,5565
2017,2230
2017,320
2017,43
2017,17
2017,11
2017,4
2018,269
2018,691
2018,1360
2018,286
2018,196
2018,4753
2018,3
2018,24
2018,120
2018,2253
2018,5565
2018,650
2018,1134
2018,270
2018,778
2018,68
2018,223
2018,943
2018,1578
2018,360
2018,549
2018,762
2018,319
2018,2593
2018,128
2018,1800
2018,267
2018,72
2018,5565
2018,638
2018,13
2018,889
2018,389
2018,27
2018,97
2018,105
2018,36
2018,54
2018,12
2018,814
2018,103
2018,28
2018,1777
2018,683
2018,246
2018,121
2018,19
2018,60
2018,38
2018,50
2018,32
2018,39
2018,47
2018,42
2018,2
2018,7
2018,609
2018,2540
2018,5565
2018,34
2018,25
2018,5565
2018,926
2018,251
2018,16
2018,67
2018,5097
2018,3016
2018,321
2018,375
2018,2589
2018,5565
2018,1122
2018,5565
2018,40
2018,859
2018,565
2018,41
2018,3898
2018,5565
2018,55
2018,1
2018,8
2018,116
2018,5565
2018,5565
2018,5565
2018,5565
2018,509
2018,790
2018,2987
2018,5565
2018,419
2018,2277
2018,1748
2018,3194
2018,1884
2018,3303
2018,48
2018,4066
2018,418
2018,6
2018,4261
2018,595
2018,94
2018,1111
2018,22
2018,5565
2018,14
2018,655
2018,281
2018,3382
2018,241
2018,65
2018,17
2018,146
2018,5565
2018,722
2018,5565
2018,63
2018,5565
2018,2815
2018,150
2018,1461
2018,5
2018,987
2018,685
2018,9
2019,148
2019,530
2019,4704
2019,305
2019,129
2019,2698
2019,18
2019,70
2019,1956
2019,5565
2019,605
2019,1075
2019,229
2019,703
2019,242
2019,527
2019,1482
