,Year,Region,Center,Section,Table name,Category,Number,Area (Donum)
0,2012,AlDhafra Region,AlDhafra,Agriculture extension ,Number and area of ​​farms,Farms,132,2473
1,2012,AlDhafra Region,Al Mirfaa ,Agriculture extension ,Number and area of ​​farms,Farms,111,1110
2,2012,AlDhafra Region,Al Silaa ,Agriculture extension ,Number and area of ​​farms,Farms,116,1776
3,2012,AlDhafra Region,Al Tharwaniya ,Agriculture extension ,Number and area of ​​farms,Farms,1931,43970
4,2012,AlDhafra Region,Delma ,Agriculture extension ,Number and area of ​​farms,Farms,102,1011
5,2012,AlDhafra Region,Ghayathi ,Agriculture extension ,Number and area of ​​farms,Farms,472,18217
6,2012,AlDhafra Region,Hamim ,Agriculture extension ,Number and area of ​​farms,Farms,870,18990
7,2012,AlDhafra Region,Hassan ,Agriculture extension ,Number and area of ​​farms,Farms,1269,28872
8,2012,AlDhafra Region,Madinat Zayed ,Agriculture extension ,Number and area of ​​farms,Farms,536,15338
9,2012,AlDhafra Region,Muzairaa,Agriculture extension ,Number and area of ​​farms,Farms,1624,36896
10,2012,AlDhafra Region,Seih Al Khair ,Agriculture extension ,Number and area of ​​farms,Farms,524,21006
11,2012,AlDhafra Region,Um Al Hesn,Agriculture extension ,Number and area of ​​farms,Farms,885,20799
12,2013,AlDhafra Region,AlDhafra,Agriculture extension ,Number and area of ​​farms,Farms,132,2473
13,2013,AlDhafra Region,Al Mirfaa ,Agriculture extension ,Number and area of ​​farms,Farms,111,1110
14,2013,AlDhafra Region,Al Silaa ,Agriculture extension ,Number and area of ​​farms,Farms,116,1776
15,2013,AlDhafra Region,Al Tharwaniya ,Agriculture extension ,Number and area of ​​farms,Farms,1931,43970
16,2013,AlDhafra Region,Delma ,Agriculture extension ,Number and area of ​​farms,Farms,102,1011
17,2013,AlDhafra Region,Ghayathi ,Agriculture extension ,Number and area of ​​farms,Farms,472,18217
18,2013,AlDhafra Region,Hamim ,Agriculture extension ,Number and area of ​​farms,Farms,870,18990
19,2013,AlDhafra Region,Hassan ,Agriculture extension ,Number and area of ​​farms,Farms,1269,28872
20,2013,AlDhafra Region,Madinat Zayed ,Agriculture extension ,Number and area of ​​farms,Farms,536,15338
21,2013,AlDhafra Region,Muzairaa,Agriculture extension ,Number and area of ​​farms,Farms,1624,36896
22,2013,AlDhafra Region,Seih Al Khair ,Agriculture extension ,Number and area of ​​farms,Farms,524,21006
23,2013,AlDhafra Region,Um Al Hesn,Agriculture extension ,Number and area of ​​farms,Farms,885,20799
24,2014,AlDhafra Region,Al Tharwaniya ,Agriculture extension ,Number and area of ​​farms,Farms,1746,41619
25,2014,AlDhafra Region,Al Silaa ,Agriculture extension ,Number and area of ​​farms,Farms,108,1656
26,2014,AlDhafra Region,Al Fathiya,Agriculture extension ,Number and area of ​​farms,Farms,128,2278
27,2014,AlDhafra Region,Al Mirfaa ,Agriculture extension ,Number and area of ​​farms,Farms,98,980
28,2014,AlDhafra Region,Um Al Hesn,Agriculture extension ,Number and area of ​​farms,Farms,795,19157
29,2014,AlDhafra Region,Hassan ,Agriculture extension ,Number and area of ​​farms,Farms,1371,28223
30,2014,AlDhafra Region,Hamim ,Agriculture extension ,Number and area of ​​farms,Farms,883,20115
31,2014,AlDhafra Region,Delma ,Agriculture extension ,Number and area of ​​farms,Farms,102,1013
32,2014,AlDhafra Region,Seih Al Khair ,Agriculture extension ,Number and area of ​​farms,Farms,559,23264
33,2014,AlDhafra Region,Ghayathi ,Agriculture extension ,Number and area of ​​farms,Farms,478,18410
34,2014,AlDhafra Region,Madinat Zayed ,Agriculture extension ,Number and area of ​​farms,Farms,541,12802
35,2014,AlDhafra Region,Muzairaa,Agriculture extension ,Number and area of ​​farms,Farms,1683,38170
36,2015,AlDhafra Region,Al Tharwaniya ,Agriculture extension ,Number and area of ​​farms,Farms,1746,41619
37,2015,AlDhafra Region,Al Silaa ,Agriculture extension ,Number and area of ​​farms,Farms,108,1656
38,2015,AlDhafra Region,Al Fathiya,Agriculture extension ,Number and area of ​​farms,Farms,128,2278
39,2015,AlDhafra Region,Al Mirfaa ,Agriculture extension ,Number and area of ​​farms,Farms,98,980
40,2015,AlDhafra Region,Um Al Hesn,Agriculture extension ,Number and area of ​​farms,Farms,795,19157
41,2015,AlDhafra Region,Hassan ,Agriculture extension ,Number and area of ​​farms,Farms,1371,28223
42,2015,AlDhafra Region,Hamim ,Agriculture extension ,Number and area of ​​farms,Farms,883,20115
43,2015,AlDhafra Region,Delma ,Agriculture extension ,Number and area of ​​farms,Farms,102,1013
44,2015,AlDhafra Region,Seih Al Khair ,Agriculture extension ,Number and area of ​​farms,Farms,559,23264
45,2015,AlDhafra Region,Ghayathi ,Agriculture extension ,Number and area of ​​farms,Farms,478,18410
46,2015,AlDhafra Region,Madinat Zayed ,Agriculture extension ,Number and area of ​​farms,Farms,541,12802
47,2015,AlDhafra Region,Muzairaa,Agriculture extension ,Number and area of ​​farms,Farms,1683,38170
48,2016,AlDhafra Region,Al Tharwaniya ,Agriculture extension ,Number and area of ​​farms,Farms,1746,41619
49,2016,AlDhafra Region,Al Silaa ,Agriculture extension ,Number and area of ​​farms,Farms,108,1656
50,2016,AlDhafra Region,Al Fathiya,Agriculture extension ,Number and area of ​​farms,Farms,128,2278
51,2016,AlDhafra Region,Al Mirfaa ,Agriculture extension ,Number and area of ​​farms,Farms,98,980
52,2016,AlDhafra Region,Um Al Hesn,Agriculture extension ,Number and area of ​​farms,Farms,795,19157
53,2016,AlDhafra Region,Hassan ,Agriculture extension ,Number and area of ​​farms,Farms,1371,28223
54,2016,AlDhafra Region,Hamim ,Agriculture extension ,Number and area of ​​farms,Farms,883,20115
55,2016,AlDhafra Region,Delma ,Agriculture extension ,Number and area of ​​farms,Farms,102,1013
56,2016,AlDhafra Region,Seih Al Khair ,Agriculture extension ,Number and area of ​​farms,Farms,559,23264
57,2016,AlDhafra Region,Ghayathi ,Agriculture extension ,Number and area of ​​farms,Farms,478,18410
58,2016,AlDhafra Region,Madinat Zayed ,Agriculture extension ,Number and area of ​​farms,Farms,541,12802
59,2016,AlDhafra Region,Muzairaa,Agriculture extension ,Number and area of ​​farms,Farms,1683,38170
60,2017,AlDhafra Region,Al Tharwaniya ,Agriculture extension ,Number and area of ​​farms,Farms,1746,41619
61,2017,AlDhafra Region,Al Silaa ,Agriculture extension ,Number and area of ​​farms,Farms,108,1656
62,2017,AlDhafra Region,Al Fathiya,Agriculture extension ,Number and area of ​​farms,Farms,128,2278
63,2017,AlDhafra Region,Al Mirfaa ,Agriculture extension ,Number and area of ​​farms,Farms,98,980
64,2017,AlDhafra Region,Um Al Hesn,Agriculture extension ,Number and area of ​​farms,Farms,795,19157
65,2017,AlDhafra Region,Hassan ,Agriculture extension ,Number and area of ​​farms,Farms,1371,28223
66,2017,AlDhafra Region,Hamim ,Agriculture extension ,Number and area of ​​farms,Farms,883,20115
67,2017,AlDhafra Region,Delma ,Agriculture extension ,Number and area of ​​farms,Farms,102,1013
68,2017,AlDhafra Region,Seih Al Khair ,Agriculture extension ,Number and area of ​​farms,Farms,559,23264
69,2017,AlDhafra Region,Ghayathi ,Agriculture extension ,Number and area of ​​farms,Farms,478,18410
70,2017,AlDhafra Region,Madinat Zayed ,Agriculture extension ,Number and area of ​​farms,Farms,541,12802
71,2017,AlDhafra Region,Muzairaa,Agriculture extension ,Number and area of ​​farms,Farms,1683,38170
72,2018,AlDhafra Region,Al Tharwaniya ,Agriculture extension ,Number and area of ​​farms,Farms,1746,41619
73,2018,AlDhafra Region,Al Silaa ,Agriculture extension ,Number and area of ​​farms,Farms,108,1656
74,2018,AlDhafra Region,Al Fathiya,Agriculture extension ,Number and area of ​​farms,Farms,128,2278
75,2018,AlDhafra Region,Al Mirfaa ,Agriculture extension ,Number and area of ​​farms,Farms,98,980
76,2018,AlDhafra Region,Um Al Hesn,Agriculture extension ,Number and area of ​​farms,Farms,795,19157
77,2018,AlDhafra Region,Hassan ,Agriculture extension ,Number and area of ​​farms,Farms,1371,28223
78,2018,AlDhafra Region,Hamim ,Agriculture extension ,Number and area of ​​farms,Farms,883,20115
79,2018,AlDhafra Region,Delma ,Agriculture extension ,Number and area of ​​farms,Farms,102,1013
