,entity_en,entity_ae,unit_en,unit_ae,year,value
0,Dubai Electricity & Water Authority,هيئة كهرباء ومياه دبي,MW,ميجا وات,2010,6161.0
1,Dubai Electricity & Water Authority,هيئة كهرباء ومياه دبي,MW,ميجا وات,2011,6206.0
2,Dubai Electricity & Water Authority,هيئة كهرباء ومياه دبي,MW,ميجا وات,2012,6637.0
3,Dubai Electricity & Water Authority,هيئة كهرباء ومياه دبي,MW,ميجا وات,2013,6857.0
4,Dubai Electricity & Water Authority,هيئة كهرباء ومياه دبي,MW,ميجا وات,2014,7233.0
5,Dubai Electricity & Water Authority,هيئة كهرباء ومياه دبي,MW,ميجا وات,2015,7696.0
6,Dubai Electricity & Water Authority,هيئة كهرباء ومياه دبي,MW,ميجا وات,2016,7982.0
7,Dubai Electricity & Water Authority,هيئة كهرباء ومياه دبي,MW,ميجا وات,2017,8232.0
8,Sharjah Electricity and Water Authority ,هيئة كهرباء ومياه الشارقة,MW,ميجا وات,2010,1934.0
9,Sharjah Electricity and Water Authority ,هيئة كهرباء ومياه الشارقة,MW,ميجا وات,2011,1968.5
10,Sharjah Electricity and Water Authority ,هيئة كهرباء ومياه الشارقة,MW,ميجا وات,2012,2087.0
11,Sharjah Electricity and Water Authority ,هيئة كهرباء ومياه الشارقة,MW,ميجا وات,2013,2150.0
12,Sharjah Electricity and Water Authority ,هيئة كهرباء ومياه الشارقة,MW,ميجا وات,2014,2150.0
13,Sharjah Electricity and Water Authority ,هيئة كهرباء ومياه الشارقة,MW,ميجا وات,2015,2340.0
14,Sharjah Electricity and Water Authority ,هيئة كهرباء ومياه الشارقة,MW,ميجا وات,2016,2390.0
15,Sharjah Electricity and Water Authority ,هيئة كهرباء ومياه الشارقة,MW,ميجا وات,2017,2424.0
16,Federal Electricity and Water Authority,الهيئة الاتحادية للكهرباء والماء,MW,ميجا وات,2010,1850.0
17,Federal Electricity and Water Authority,الهيئة الاتحادية للكهرباء والماء,MW,ميجا وات,2011,1840.0
18,Federal Electricity and Water Authority,الهيئة الاتحادية للكهرباء والماء,MW,ميجا وات,2012,2060.0
19,Federal Electricity and Water Authority,الهيئة الاتحادية للكهرباء والماء,MW,ميجا وات,2013,2045.0
20,Federal Electricity and Water Authority,الهيئة الاتحادية للكهرباء والماء,MW,ميجا وات,2014,2157.0
21,Federal Electricity and Water Authority,الهيئة الاتحادية للكهرباء والماء,MW,ميجا وات,2015,2373.0
22,Federal Electricity and Water Authority,الهيئة الاتحادية للكهرباء والماء,MW,ميجا وات,2016,2566.0
23,Federal Electricity and Water Authority,الهيئة الاتحادية للكهرباء والماء,MW,ميجا وات,2017,2760.0
24,Emirates Monitoring Centre,غرف التحكم لشبكة الإمارات الوطنية للكهرباء,MW,ميجا وات,2010,
25,Emirates Monitoring Centre,غرف التحكم لشبكة الإمارات الوطنية للكهرباء,MW,ميجا وات,2011,
26,Emirates Monitoring Centre,غرف التحكم لشبكة الإمارات الوطنية للكهرباء,MW,ميجا وات,2012,19062.0
27,Emirates Monitoring Centre,غرف التحكم لشبكة الإمارات الوطنية للكهرباء,MW,ميجا وات,2013,
28,Emirates Monitoring Centre,غرف التحكم لشبكة الإمارات الوطنية للكهرباء,MW,ميجا وات,2014,20402.0
29,Emirates Monitoring Centre,غرف التحكم لشبكة الإمارات الوطنية للكهرباء,MW,ميجا وات,2015,22782.0
30,Emirates Monitoring Centre,غرف التحكم لشبكة الإمارات الوطنية للكهرباء,MW,ميجا وات,2016,23163.0
31,Emirates Monitoring Centre,غرف التحكم لشبكة الإمارات الوطنية للكهرباء,MW,ميجا وات,2017,24760.0
