,Trade Name,Trade Name Ar,Industry Type,Industry Type Ar,Product Name,Product Name Ar,Actual Production Capacity,Unit,Contact Person Name,E-Mail,Phone
0,AL OJAN ICE & REFREIGERATION,مصنع العوجان للثلج والتبريد,Energy and Sustainability Industries,صناعات الطاقة والإستدامة,Ice Blocks,قوالب ثلج,640000,Numbers,KHALED ALQUBAISI | OSAMA OSAMA | الخليج العربى,ahmed_7727@yahoo.com | alyaser628@gmail.com | osamafoush@yahoo.com,0509868910 | 0559725363 | 557866003
1,AL AQILI ICE & REFRIGERATION FACTORY,مصنع العقيلي للثلج والتبريد,Energy and Sustainability Industries,صناعات الطاقة والإستدامة,Ice Blocks,قوالب ثلج,35000,Kilogram,KHALID YOUNIS MOHAMED ABDULKAREEM ALSHAMSI | Sami Molana,albaselcontracting@yahoo.com | sami.m.mawlana@hotmail.com,0504815122 | 504815122
2,LIWA ICE FACTORY L.L.C,ليوا لصناعة الثلج ذ م م,Energy and Sustainability Industries,صناعات الطاقة والإستدامة,Ice Blocks,قوالب ثلج,8000,Ton metric,,ashrf200ashraf200@yahoo.com,71557472025
3,ABU DHABI COMPOST PLANT,مصنع أبوظبي للسماد,Energy and Sustainability Industries,صناعات الطاقة والإستدامة,Organic Fertilizer (Remnants of The City and Green Waste),سماد عضوي (مخلفات المدينة و المخلفات الخضراء),75000,Ton metric,SALEM ALKAABI,m.abdelkader@adcompost.com,569449978
4,SHUWEIHAT C M S INTERNATIONAL POWER PJS,شركة الشويهات سي ام اس انترناشونال باور  ش م خ,Energy and Sustainability Industries,صناعات الطاقة والإستدامة,Ordinary Natural Waters,مياه عادية طبيعية,16592900,Cu meter,,surendra.yadav@scipco.ae,506220148
5,SHUWEIHAT C M S INTERNATIONAL POWER PJS,شركة الشويهات سي ام اس انترناشونال باور  ش م خ,Energy and Sustainability Industries,صناعات الطاقة والإستدامة,Electricity Energy,طاقة كهربائية,1500,Kilo Watt,,surendra.yadav@scipco.ae,506220148
6,GULF RUBBER FACTORY  - SOLE PROPRIETORSHIP L.L.C.,مصنع الخليج للمطاط  - شركة الشخص الواحد ذ م م,Energy and Sustainability Industries,صناعات الطاقة والإستدامة,Steel Wires Shreds,قطع أسلاك حديدية,1500,Ton metric,Abdallah alrawashdeh | Diab Abu Shaheen,DIAB.ABUSHAHEEN@GMAIL.COM | abdallah@gulfrubberfactory.com,506430161 | 529294404
7,GULF RUBBER FACTORY  - SOLE PROPRIETORSHIP L.L.C.,مصنع الخليج للمطاط  - شركة الشخص الواحد ذ م م,Energy and Sustainability Industries,صناعات الطاقة والإستدامة,Steel Wires Rolls,لفات أسلاك حديدية,700,Ton metric,Abdallah alrawashdeh | Diab Abu Shaheen,DIAB.ABUSHAHEEN@GMAIL.COM | abdallah@gulfrubberfactory.com,506430161 | 529294404
8,GULF RUBBER FACTORY  - SOLE PROPRIETORSHIP L.L.C.,مصنع الخليج للمطاط  - شركة الشخص الواحد ذ م م,Energy and Sustainability Industries,صناعات الطاقة والإستدامة,Rubber Tiles,بلاطات مطاطية,2000,Ton metric,Abdallah alrawashdeh | Diab Abu Shaheen,DIAB.ABUSHAHEEN@GMAIL.COM | abdallah@gulfrubberfactory.com,506430161 | 529294404
9,GULF RUBBER FACTORY  - SOLE PROPRIETORSHIP L.L.C.,مصنع الخليج للمطاط  - شركة الشخص الواحد ذ م م,Energy and Sustainability Industries,صناعات الطاقة والإستدامة,Rubber Sheets,ألواح مطاطية,600,Ton metric,Abdallah alrawashdeh | Diab Abu Shaheen,DIAB.ABUSHAHEEN@GMAIL.COM | abdallah@gulfrubberfactory.com,506430161 | 529294404
