,Indicator_EN,Indicator_AR,Variable_EN - Final Discharge,Variable_AR - Final Discharge,Unit_EN,Unit_AR,Geography_EN,Geography_AR,Temporal Ref - Year_EN,Temporal Ref - Year_AR,Value
0,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Treated Wasewater,المياه العادمة المعالجة,Million M3,مليون م 3,Abu Dhabi,أبوظبي,2017,2017,310.7195292468086
1,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Treated Wasewater,المياه العادمة المعالجة,Million M3,مليون م 3,Dubai,دبي,2017,2017,268.669649
2,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Treated Wasewater,المياه العادمة المعالجة,Million M3,مليون م 3,Sharjah,الشارقة  ,2017,2017,101.32951500000001
3,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Treated Wasewater,المياه العادمة المعالجة,Million M3,مليون م 3,Ajman,عجمان   ,2017,2017,34.386566
4,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Treated Wasewater,المياه العادمة المعالجة,Million M3,مليون م 3,Umm Al-Quwain ,أم القيوين  ,2017,2017,0
5,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Treated Wasewater,المياه العادمة المعالجة,Million M3,مليون م 3,Ras Al-Khaimah ,رأس الخيمة   ,2017,2017,12.902775550000001
6,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Treated Wasewater,المياه العادمة المعالجة,Million M3,مليون م 3,Fujairah,الفجيرة  ,2017,2017,7.54429
7,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Treated Wasewater,المياه العادمة المعالجة,Million M3,مليون م 3,Total ,المجموع ,2017,2017,735.5523247968086
8,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Treated Wasewater,المياه العادمة المعالجة,%,%,Total %,المجموع %,2017,2017,100
9,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Irrigation,الري,Million M3,مليون م 3,Abu Dhabi,أبوظبي,2017,2017,174.43962404919898
10,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Irrigation,الري,Million M3,مليون م 3,Dubai,دبي,2017,2017,230
11,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Irrigation,الري,Million M3,مليون م 3,Sharjah,الشارقة  ,2017,2017,72.46714
12,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Irrigation,الري,Million M3,مليون م 3,Ajman,عجمان   ,2017,2017,7.332929
13,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Irrigation,الري,Million M3,مليون م 3,Umm Al-Quwain ,أم القيوين  ,2017,2017,0
14,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Irrigation,الري,Million M3,مليون م 3,Ras Al-Khaimah ,رأس الخيمة   ,2017,2017,9.675811207
15,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Irrigation,الري,Million M3,مليون م 3,Fujairah,الفجيرة  ,2017,2017,0.073301
16,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Irrigation,الري,Million M3,مليون م 3,Total ,المجموع ,2017,2017,493.98880525619893
17,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Irrigation,الري,%,%,Total %,المجموع %,2017,2017,67.1588938819084
18,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Storage,تخزين,Million M3,مليون م 3,Abu Dhabi,أبوظبي,2017,2017,0
19,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Storage,تخزين,Million M3,مليون م 3,Dubai,دبي,2017,2017,0
20,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Storage,تخزين,Million M3,مليون م 3,Sharjah,الشارقة  ,2017,2017,9.812295
21,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Storage,تخزين,Million M3,مليون م 3,Ajman,عجمان   ,2017,2017,0
22,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Storage,تخزين,Million M3,مليون م 3,Umm Al-Quwain ,أم القيوين  ,2017,2017,0
23,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Storage,تخزين,Million M3,مليون م 3,Ras Al-Khaimah ,رأس الخيمة   ,2017,2017,0
24,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Storage,تخزين,Million M3,مليون م 3,Fujairah,الفجيرة  ,2017,2017,0
25,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Storage,تخزين,Million M3,مليون م 3,Total ,المجموع ,2017,2017,9.812295
26,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Storage,تخزين,%,%,Total %,المجموع %,2017,2017,1.3340036689722354
27,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Dispose in Gulf Water,تصريف إلى مياه الخليج ,Million M3,مليون م 3,Abu Dhabi,أبوظبي,2017,2017,127.43785767960944
28,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Dispose in Gulf Water,تصريف إلى مياه الخليج ,Million M3,مليون م 3,Dubai,دبي,2017,2017,8.5
29,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Dispose in Gulf Water,تصريف إلى مياه الخليج ,Million M3,مليون م 3,Sharjah,الشارقة  ,2017,2017,18.86466
30,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Dispose in Gulf Water,تصريف إلى مياه الخليج ,Million M3,مليون م 3,Ajman,عجمان   ,2017,2017,21.8309
31,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Dispose in Gulf Water,تصريف إلى مياه الخليج ,Million M3,مليون م 3,Umm Al-Quwain ,أم القيوين  ,2017,2017,0
32,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Dispose in Gulf Water,تصريف إلى مياه الخليج ,Million M3,مليون م 3,Ras Al-Khaimah ,رأس الخيمة   ,2017,2017,2.6401538430000002
33,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Dispose in Gulf Water,تصريف إلى مياه الخليج ,Million M3,مليون م 3,Fujairah,الفجيرة  ,2017,2017,7.117744
34,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Dispose in Gulf Water,تصريف إلى مياه الخليج ,Million M3,مليون م 3,Total ,المجموع ,2017,2017,186.3913155226094
35,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Dispose in Gulf Water,تصريف إلى مياه الخليج ,%,%,Total %,المجموع %,2017,2017,25.340320360498996
36,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Other,أخرى ,Million M3,مليون م 3,Abu Dhabi,أبوظبي,2017,2017,8.84204751800001
37,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Other,أخرى ,Million M3,مليون م 3,Dubai,دبي,2017,2017,30.2
38,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Other,أخرى ,Million M3,مليون م 3,Sharjah,الشارقة  ,2017,2017,0.18542
39,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Other,أخرى ,Million M3,مليون م 3,Ajman,عجمان   ,2017,2017,5.222737
40,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Other,أخرى ,Million M3,مليون م 3,Umm Al-Quwain ,أم القيوين  ,2017,2017,0
41,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Other,أخرى ,Million M3,مليون م 3,Ras Al-Khaimah ,رأس الخيمة   ,2017,2017,0.5868105
42,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Other,أخرى ,Million M3,مليون م 3,Fujairah,الفجيرة  ,2017,2017,0.353245
43,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Other,أخرى ,Million M3,مليون م 3,Total ,المجموع ,2017,2017,45.39026001800001
44,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Other,أخرى ,%,%,Total %,المجموع %,2017,2017,6.17090837562627
45,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Treated Wasewater,المياه العادمة المعالجة,Million M3,مليون م 3,Abu Dhabi,أبوظبي,2016,2016,325916360.5260279
46,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Treated Wasewater,المياه العادمة المعالجة,Million M3,مليون م 3,Dubai,دبي,2016,2016,257739291.70967743
47,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Treated Wasewater,المياه العادمة المعالجة,Million M3,مليون م 3,Sharjah,الشارقة  ,2016,2016,98800236
48,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Treated Wasewater,المياه العادمة المعالجة,Million M3,مليون م 3,Ajman,عجمان   ,2016,2016,30124344
49,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Treated Wasewater,المياه العادمة المعالجة,Million M3,مليون م 3,Umm Al-Quwain ,أم القيوين  ,2016,2016,0
50,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Treated Wasewater,المياه العادمة المعالجة,Million M3,مليون م 3,Ras Al-Khaimah ,رأس الخيمة   ,2016,2016,13312884
51,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Treated Wasewater,المياه العادمة المعالجة,Million M3,مليون م 3,Fujairah,الفجيرة  ,2016,2016,7161160
52,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Treated Wasewater,المياه العادمة المعالجة,Million M3,مليون م 3,Total ,المجموع ,2016,2016,733054276.2357054
53,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Treated Wasewater,المياه العادمة المعالجة,%,%,Total %,المجموع %,2016,2016,100.00022852071096
54,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Irrigation,الري,Million M3,مليون م 3,Abu Dhabi,أبوظبي,2016,2016,166505063.90139195
55,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Irrigation,الري,Million M3,مليون م 3,Dubai,دبي,2016,2016,225020545
56,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Irrigation,الري,Million M3,مليون م 3,Sharjah,الشارقة  ,2016,2016,64791200
57,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Irrigation,الري,Million M3,مليون م 3,Ajman,عجمان   ,2016,2016,7218020
58,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Irrigation,الري,Million M3,مليون م 3,Umm Al-Quwain ,أم القيوين  ,2016,2016,0
59,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Irrigation,الري,Million M3,مليون م 3,Ras Al-Khaimah ,رأس الخيمة   ,2016,2016,6388127.4
